Index,CrashID,Role,Gender,Age,Age_Aggregate,County,Date,Day,Month,Time,Injured,Deaths,Latitude,Longitude,Weather,Speed_Limit,Road_Type,Road_Name,Injury_Status,Cause
68,902469119,Driver,M,55-64Years,['55-64Years'],97,06/20/2015,SATURDAY,JUN,10:54:00 PM,0,1,39.857440000000004,-86.182288,2.0,40.0,TwoLanes(TwoWay),KESSLERBLVDWDRSHARONRD,Fatal,"OTHER(DRIVER),EXPLAININNARRATIVE"
69,902788598,Injured,F,45-54Years,"['45-54Years', '45-54Years']",97,09/30/2016,FRIDAY,SEP,11:49:00 PM,3,2,39.802144,-86.121584,2.0,35.0,Multi-LaneUndivided(TwoWay),24THSTKEYSTONEAVE,Fatal,IMPROPERLANEUSAGE
70,902659937,Driver,M,45-54Years,['45-54Years'],97,02/23/2016,TUESDAY,FEB,07:01:00 PM,1,1,39.89038981,-86.15781001,2.0,45.0,Multi-LaneUndivided2-wayleft(TwoWay),75THSTMERIDIANST,Fatal,FAILURETOYIELDRIGHTOFWAY
71,902787307,Injured,M,35-44Years,['35-44Years'],97,09/25/2016,SUNDAY,SEP,02:15:00 AM,2,1,39.764464000000004,-86.266912,1.0,40.0,Multi-LaneDivided3ormore(TwoWay),I465SROCKVILLERD,Fatal,FAILURETOYIELDRIGHTOFWAY
72,902685845,Injured,F,15-24Years,"['15-24Years', '25-34Years']",97,03/26/2016,SATURDAY,MAR,03:44:00 AM,3,2,39.828448,-86.04316800000001,1.0,45.0,Multi-LaneUndivided(TwoWay),ELMHURSTDRPENDLETONPIKE,Fatal,DISREGARDSIGNAL/REGSIGN
73,902674617,Injured,M,25-34Years,['25-34Years'],97,03/22/2016,TUESDAY,MAR,10:13:00 PM,1,1,39.749734000000004,-86.240259,2.0,35.0,Multi-LaneUndivided(TwoWay),MORRISSTWESTST,Fatal,DISREGARDSIGNAL/REGSIGN
74,902687104,Driver,F,45-54Years,['45-54Years'],57,04/15/2016,FRIDAY,APR,08:53:00 AM,2,1,40.085456,-86.22238399999999,1.0,50.0,TwoLanes(TwoWay),206STMULEBARNRD,Fatal,FAILURETOYIELDRIGHTOFWAY
75,902692742,Driver,M,>=85Years,['>=85Years'],97,04/23/2016,SATURDAY,APR,08:40:00 AM,1,1,39.896944,-86.21558399999999,2.0,45.0,Multi-LaneUndivided2-wayleft(TwoWay),79THSTMICHIGANRD,Fatal,DRIVERILLNESS
76,902648133,Injured,F,15-24Years,"['15-24Years', '15-24Years']",97,02/03/2016,WEDNESDAY,FEB,05:37:00 AM,0,1,39.771904,-86.10088,1.0,30.0,Multi-Lanes(OneWay),BRADLEYAVENEWYORKST,Fatal,OVERCORRECTING/OVERSTEERING
77,902648133,Injured,F,15-24Years,"['15-24Years', '15-24Years']",97,02/03/2016,WEDNESDAY,FEB,05:37:00 AM,0,1,39.771904,-86.10088,1.0,30.0,Multi-Lanes(OneWay),BRADLEYAVENEWYORKST,Fatal,OVERCORRECTING/OVERSTEERING
78,902666292,Driver,M,15-24Years,['15-24Years'],97,03/04/2016,FRIDAY,MAR,09:03:00 PM,1,1,39.91972983,-86.15379005,2.0,35.0,TwoLanes(TwoWay),91STSTWASHINGTONBLVDWDR,Fatal,UNSAFESPEED
79,902670459,Injured,M,35-44Years,['35-44Years'],97,03/11/2016,FRIDAY,MAR,03:28:00 AM,1,1,39.71353531,-86.13771820000001,nan,30.0,TwoLanes(TwoWay),NORTONAVE,Fatal,OVERCORRECTING/OVERSTEERING
80,902636157,Driver,F,35-44Years,['35-44Years'],57,01/23/2016,SATURDAY,JAN,01:45:00 AM,0,1,39.97609938,-86.04219004,2.0,40.0,TwoLanes(TwoWay),160STCHERRYTREERD,Fatal,UNSAFESPEED
81,902672965,Driver,F,25-34Years,['25-34Years'],97,03/19/2016,SATURDAY,MAR,11:30:00 PM,0,1,39.75175425,-86.264451,1.0,55.0,nan,I465S12.0,Fatal,FOLLOWINGTOOCLOSELY
82,902867561,Injured,F,75-84Years,['75-84Years'],97,12/16/2016,FRIDAY,DEC,10:59:00 PM,0,1,39.70431575,-86.10834387,3.0,55.0,nan,I65N106.1,Fatal,SPEEDTOOFASTFORWEATHERCONDITIONS
83,902643867,Driver,M,55-64Years,['55-64Years'],57,01/31/2016,SUNDAY,JAN,09:05:00 AM,0,1,40.13258549,-85.93061356,1.0,55.0,TwoLanes(TwoWay),PENNINGTONRDSR37,Fatal,RANOFFROAD
84,902815168,Driver,F,45-54Years,['45-54Years'],57,11/12/2016,SATURDAY,NOV,07:58:00 AM,1,1,40.043104,-86.089936,1.0,40.0,TwoLanes(TwoWay),GRAYRDSR32,Fatal,DISREGARDSIGNAL/REGSIGN
85,902729775,Injured,F,55-64Years,['55-64Years'],97,06/22/2016,WEDNESDAY,JUN,01:29:00 PM,2,1,39.71167847,-86.27214572,2.0,55.0,nan,I70E72.5,Fatal,WRONGWAYONONEWAY
86,902667044,Injured,M,1-4Years,"['1-4Years', '15-24Years']",97,03/08/2016,TUESDAY,MAR,09:30:00 PM,4,2,39.848032,-86.002592,1.0,45.0,Multi-LaneDivided3ormore(TwoWay),E52NDSTUS36E,Fatal,LEFTOFCENTER
87,902667044,Driver,M,15-24Years,"['1-4Years', '15-24Years']",97,03/08/2016,TUESDAY,MAR,09:30:00 PM,4,2,39.848032,-86.002592,1.0,45.0,Multi-LaneDivided3ormore(TwoWay),E52NDSTUS36E,Fatal,LEFTOFCENTER
88,902818678,Driver,M,>=85Years,"['>=85Years', '>=85Years']",97,11/14/2016,MONDAY,NOV,01:45:00 PM,0,2,39.853536,-85.991376,1.0,45.0,nan,NMITTHOEFFERRDUS36E,Fatal,FAILURETOYIELDRIGHTOFWAY
89,902818678,Injured,F,>=85Years,"['>=85Years', '>=85Years']",97,11/14/2016,MONDAY,NOV,01:45:00 PM,0,2,39.853536,-85.991376,1.0,45.0,nan,NMITTHOEFFERRDUS36E,Fatal,FAILURETOYIELDRIGHTOFWAY
90,902797485,Injured,M,15-24Years,['15-24Years'],97,10/12/2016,WEDNESDAY,OCT,10:44:00 PM,2,1,39.77968,-86.256896,1.0,40.0,Multi-LaneUndivided(TwoWay),10THSTWHITCOMBAVE,Fatal,FAILURETOYIELDRIGHTOFWAY
91,902809762,Driver,F,35-44Years,['35-44Years'],97,10/31/2016,MONDAY,OCT,04:51:00 PM,0,1,39.776496,-86.19945600000001,1.0,30.0,TwoLanes(OneWay),PERSHINGAVEWALNUTST,Fatal,DISREGARDSIGNAL/REGSIGN
92,902678367,Driver,M,75-84Years,['75-84Years'],97,03/30/2016,WEDNESDAY,MAR,07:11:00 AM,1,1,39.648736,-86.121424,2.0,45.0,Multi-LaneUndivided2-wayleft(TwoWay),MADISONAVEWINCHESTERDR,Fatal,LEFTOFCENTER
93,902819395,Injured,M,35-44Years,"['35-44Years', '35-44Years', '25-34Years', '25-34Years']",97,11/03/2016,THURSDAY,NOV,01:05:00 AM,0,2,39.78894735,-86.159184,2.0,35.0,Multi-Lanes(OneWay),16THSTILLINOISST,Fatal,RANOFFROAD
94,902819395,Injured,M,35-44Years,"['35-44Years', '35-44Years', '25-34Years', '25-34Years']",97,11/03/2016,THURSDAY,NOV,01:05:00 AM,0,2,39.78894735,-86.159184,2.0,35.0,Multi-Lanes(OneWay),16THSTILLINOISST,Fatal,RANOFFROAD
95,902797487,Driver,F,55-64Years,['55-64Years'],97,10/17/2016,MONDAY,OCT,05:57:00 AM,1,1,39.85223782,-86.31503793,1.0,35.0,TwoLanes(TwoWay),56THSTPOTTERSPIKE,Fatal,LEFTOFCENTER
96,902675043,Injured,F,15-24Years,"['15-24Years', '15-24Years']",97,03/21/2016,MONDAY,MAR,08:49:00 PM,2,2,39.756736,-86.0088,1.0,35.0,TwoLanes(TwoWay),PLEASANTSTPOSTRD,Fatal,LEFTOFCENTER
97,902675043,Driver,M,15-24Years,"['15-24Years', '15-24Years']",97,03/21/2016,MONDAY,MAR,08:49:00 PM,2,2,39.756736,-86.0088,1.0,35.0,TwoLanes(TwoWay),PLEASANTSTPOSTRD,Fatal,LEFTOFCENTER
98,902816335,Driver,F,15-24Years,['15-24Years'],97,11/12/2016,SATURDAY,NOV,10:04:00 PM,3,1,39.771696,-86.112976,1.0,35.0,TwoLanes(OneWay),NEWYORKSTOAKLANDAVE,Fatal,FAILURETOYIELDRIGHTOFWAY
99,902628755,Injured,M,55-64Years,['55-64Years'],97,01/01/2016,FRIDAY,JAN,02:28:00 AM,2,1,39.71837095,-86.1486846,2.0,35.0,Multi-LaneDivided3ormore(TwoWay),EASTSTMADISONAVE,Fatal,OVERCORRECTING/OVERSTEERING
100,902809181,Driver,M,55-64Years,['55-64Years'],97,11/02/2016,WEDNESDAY,NOV,08:35:00 AM,0,1,39.693456,-86.131584,1.0,35.0,TwoLanes(TwoWay),MATHEWSSTTHOMPSONRD,Fatal,DISREGARDSIGNAL/REGSIGN
101,902685845,Driver,M,25-34Years,"['15-24Years', '25-34Years']",97,03/26/2016,SATURDAY,MAR,03:44:00 AM,3,2,39.828448,-86.04316800000001,1.0,45.0,Multi-LaneUndivided(TwoWay),ELMHURSTDRPENDLETONPIKE,Fatal,DISREGARDSIGNAL/REGSIGN
102,902698197,Driver,M,15-24Years,['15-24Years'],97,04/30/2016,SATURDAY,APR,02:30:00 AM,3,1,39.86061998,-86.23461976,1.0,35.0,TwoLanes(TwoWay),59THSTGUIONLAKESDR,Fatal,RANOFFROAD
103,902737371,Driver,M,65-74Years,['65-74Years'],97,07/03/2016,SUNDAY,JUL,12:56:00 PM,1,1,39.79403012,-86.25619728,3.0,45.0,Multi-LaneDivided3ormore(TwoWay),CRAWFORDSVILLERDW22NDST,Fatal,OVERCORRECTING/OVERSTEERING
104,902818792,Injured,M,65-74Years,"['65-74Years', '65-74Years']",57,11/14/2016,MONDAY,NOV,11:20:00 AM,0,2,39.92686987,-86.11925996,1.0,35.0,TwoLanes(TwoWay),E96THSTWILDCHERRYLN,Fatal,RANOFFROAD
