Index,CrashID,Gender,Age,County,Date,Day,Month,Time,PM_AM,Injured,Deaths,Latitude,Longitude,Weather,Speed_Limit,Injury_Status,Cause
83,903285364,M,15-24Years,57,12/21/2018,FRIDAY,DEC,10:39,PM,1,1,40.12798,-85.96312,2,50,Fatal,RANOFFROAD
84,903285668,M,15-24Years,97,12/21/2018,FRIDAY,DEC,10:25,AM,0,1,39.83435,-85.98772,1,35,Fatal,"OTHER(DRIVER),EXPLAININNARRATIVE"
85,903299700,M,15-24Years,97,10/21/2018,SUNDAY,OCT,8:58,PM,0,1,39.86368,-86.173904,1,35,Fatal,RANOFFROAD
86,903194885,M,35-44Years,57,8/2/2018,THURSDAY,AUG,2:39,AM,1,1,40.05669422,-85.88960077,1,50,Fatal,RANOFFROAD
87,903171144,M,25-34Years,97,6/16/2018,SATURDAY,JUN,3:38,AM,1,1,39.858336,-86.174192,1,35,Fatal,LEFTOFCENTER
88,903114917,F,75-84Years,97,3/8/2018,THURSDAY,MAR,3:50,PM,0,1,39.66222,-86.17771,1,5,Fatal,"OTHER(DRIVER),EXPLAININNARRATIVE"
89,903133221,M,35-44Years,97,4/14/2018,SATURDAY,APR,6:12,PM,0,1,39.718048,-86.147808,2,40,Fatal,FAILURETOYIELDRIGHTOFWAY
90,903187795,M,25-34Years,97,7/18/2018,WEDNESDAY,JUL,10:15,AM,0,1,39.69214127,-86.30748,2,30,Fatal,RANOFFROAD
91,902951524,M,15-24Years,97,6/14/2017,WEDNESDAY,JUN,10:38,PM,8,1,39.85254331,-86.2825368,3,40,Fatal,LEFTOFCENTER
92,902899219,M,25-34Years,97,3/30/2017,THURSDAY,MAR,6:29,PM,2,1,39.86842266,-86.04558881,3,45,Fatal,SPEEDTOOFASTFORWEATHERCONDITIONS
93,903053957,F,25-34Years,97,11/30/2017,THURSDAY,NOV,6:35,AM,0,2,39.84678496,-85.99143149,1,35,Fatal,RANOFFROAD
94,903033133,M,25-34Years,97,10/27/2017,FRIDAY,OCT,5:25,AM,1,1,39.69915674,-86.10691511,1,55,Fatal,UNSAFESPEED
95,902899503,F,5-14Years,97,4/1/2017,SATURDAY,APR,3:03,PM,1,1,39.8027287,-86.03246218,1,55,Fatal,UNSAFELANEMOVEMENT
96,902921533,M,15-24Years,97,4/18/2017,TUESDAY,APR,9:18,PM,3,2,39.75602631,-86.19187087,1,50,Fatal,UNSAFESPEED
97,902928040,F,45-54Years,57,5/21/2017,SUNDAY,MAY,7:13,PM,2,1,40.000448,-86.089744,1,45,Fatal,LEFTOFCENTER
98,902852563,M,25-34Years,97,1/5/2017,THURSDAY,JAN,3:49,AM,1,1,39.804048,-86.210736,4,30,Fatal,SPEEDTOOFASTFORWEATHERCONDITIONS
99,902956689,F,75-84Years,97,7/4/2017,TUESDAY,JUL,11:25,AM,2,1,39.785344,-85.99008,1,35,Fatal,LEFTOFCENTER
