Index,CrashID,Gender,Ages,County,Date,Day,Month,Time,PM/AM,Injured,Deaths,Latitude,Longitude,Weather,SpeedLimit,Cause,
366,902449305,M,['15-24Years'],97,2015.05.20,WEDNESDAY,MAY,6:39,AM,nan,1,39.737552,-86.13757498,2,40,PEDESTRIANACTION,
367,902426394,M,['45-54Years'],97,2015.04.05,SUNDAY,APR,2:30,AM,0,1,39.77090566,-86.15067534,1,30,PEDESTRIANACTION,
368,902444097,F,['>=85Years'],97,2015.05.10,SUNDAY,MAY,11:51,AM,0,1,39.65057015,-86.10154298,2,40,RANOFFROAD,
369,902576594,M,['25-34Years'],97,2015.12.01,TUESDAY,DEC,10:18,PM,0,1,39.65057015,-86.10155745,1,40,RANOFFROAD,
370,902410549,M,['45-54Years'],97,2015.03.05,THURSDAY,MAR,5:35,AM,0,1,39.75588977,-86.05452015,1,40,PEDESTRIANACTION,
371,902475508,M,['55-64Years'],97,2015.07.02,THURSDAY,JUL,10:10,PM,0,1,39.75209373,-86.13469344,1,35,PEDESTRIANACTION,
372,902434134,F,['65-74Years'],97,2015.04.15,WEDNESDAY,APR,5:09,PM,0,1,39.91982974,-86.14589456,1,25,PEDESTRIANACTION,
373,902591641,M,['25-34Years'],97,2015.11.08,SUNDAY,NOV,3:30,AM,0,1,39.71592,-86.11208,1,30,OTHER(DRIVER),
374,902527476,F,['45-54Years'],97,2015.09.24,THURSDAY,SEP,8:18,PM,0,1,39.76544,-86.162032,1,25,PEDESTRIANACTION,
375,902452805,F,['65-74Years'],57,2015.05.27,WEDNESDAY,MAY,1:25,PM,0,1,39.98058982,-85.8769327,2,25,UNSAFEBACKING,
